parid,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,ttl
29,96.45,,,0.04,0.05,,0.14,3.13,0.18,99.99000000000001
30,98.23,,,0.29,0.35,0.56,0.27,0.19,0.11,100.00000000000001
31,94.55,,,0.04,0.04,0.01,0.22,3.96,1.17,99.99000000000001
32,82.43,,,0.06,0.05,11.1,0.27,5.58,0.51,100.00000000000001
33,98.1,,,0.06,0.07,0.01,0.27,1.41,0.09,100.01
34,99.41,,,0.05,0.03,,0.14,0.33,0.03,99.99
35,98.7,,,0.06,0.06,,0.15,0.95,0.08,100.0
36,90.01,,,0.05,0.05,,0.17,9.21,0.52,100.01
37,97.69,,,0.04,0.05,,0.13,2.01,0.08,100.0
38,99.08,,,0.04,0.04,0.21,0.13,0.47,0.04,100.01
39,96.01,,,0.07,0.06,,0.27,3.41,0.18,100.0
40,93.42,,,0.06,0.09,0.19,0.24,5.38,0.62,100.00000000000001
78,33.5,,,0.12,0.06,21.56,0.37,29.48,14.91,100.0
79,78.02,,,0.05,0.07,0.77,0.22,15.64,5.23,100.0
80,52.07,,,0.05,0.06,3.25,0.32,38.11,6.15,100.01
81,81.76,,,0.06,0.05,2.24,0.23,13.02,2.63,99.99000000000001
82,66.62,,,0.27,0.16,0.04,0.33,26.89,5.68,99.99000000000001
83,66.39,,,0.11,0.09,0.17,0.32,29.58,3.34,100.0
84,83.36,,,0.06,0.07,1.4,0.32,12.86,1.94,100.01
85,87.79,,,0.23,0.48,7.86,0.81,2.01,0.82,100.0
86,90.16,,,0.05,0.05,1.83,0.3,6.16,1.45,100.0
87,89.86,,,0.04,0.05,4.78,0.21,2.77,2.29,100.00000000000001
88,66.47,,,0.29,0.61,1.25,0.75,22.52,8.11,100.0
89,46.5,,,0.09,0.17,2.08,0.31,41.69,9.16,100.0
90,61.89,,,0.2,0.17,4.59,0.28,29.17,3.71,100.01
91,87.71,,,0.08,0.06,8.45,0.35,2.31,1.03,99.99
140,46.19,,,0.3,0.32,0.1,0.23,42.77,10.09,100.0
141,59.24,,,0.03,0.05,0.18,0.35,36.15,4.0,100.0
142,37.98,,,0.07,0.05,2.04,0.24,44.94,14.68,100.0
143,65.96,,,0.04,0.04,0.34,0.15,29.76,3.72,100.00999999999999
144,55.76,,,0.06,0.04,0.36,0.19,39.03,4.57,100.00999999999999
145,44.23,,,0.08,0.07,,0.32,53.14,2.15,99.99000000000001
146,66.72,,,0.08,0.07,0.01,0.32,31.47,1.33,99.99999999999999
147,78.51,,,0.03,0.05,0.03,0.23,20.66,0.48,99.99000000000001
148,57.68,,,0.02,0.04,,0.26,37.97,4.01,99.98
149,65.0,,,0.07,0.04,0.01,0.26,33.17,1.46,100.00999999999998
150,54.64,,,0.07,0.06,0.1,0.35,43.49,1.29,100.00000000000001
151,59.61,,,0.12,0.1,0.02,0.51,30.8,8.84,100.0
152,41.63,,,0.3,0.69,0.04,0.47,47.49,9.38,100.0
153,60.44,,,0.04,0.04,1.31,0.35,29.15,8.66,99.99
154,81.45,,,0.44,0.6,1.69,0.29,14.29,1.26,100.02
155,74.68,,,0.4,1.13,0.56,0.52,16.13,6.58,100.00000000000001
156,88.36,,,0.06,0.09,0.07,0.29,9.27,1.85,99.99
157,89.61,,,0.17,0.18,0.21,0.18,8.87,0.77,99.99
158,47.19,,,0.27,0.67,0.08,0.88,39.36,11.54,99.99000000000001
159,48.89,,,1.34,1.41,0.08,0.81,37.03,10.45,100.01
160,52.64,,,0.18,0.24,0.02,0.68,41.09,5.15,100.0
161,49.06,,,0.3,0.36,0.17,0.64,39.2,10.28,100.01
162,36.65,,,0.2,0.32,0.22,0.36,49.79,12.46,100.0
163,34.96,,,0.21,0.18,0.01,0.35,54.04,10.24,99.99
164,68.24,,,0.05,0.06,0.07,0.46,30.1,1.03,100.00999999999999
165,56.8,,,0.08,0.08,0.01,0.38,41.64,1.01,100.00000000000001
134,83.17,,,0.09,0.12,0.37,0.58,11.96,3.71,100.0
135,60.84,,,0.1,0.08,0.6,0.22,25.29,12.87,100.0
136,70.98,,,1.03,1.64,0.08,0.65,22.08,3.53,99.99000000000001
137,62.39,,,0.17,0.13,,0.52,31.11,5.68,100.0
138,37.41,,,0.11,0.1,0.01,1.25,57.11,4.01,100.0
139,73.5,,,0.06,0.07,0.12,0.29,16.17,9.77,99.98
126,65.01,,,0.25,0.15,4.58,0.19,24.13,5.69,100.0
127,63.35,,,0.06,0.05,0.77,0.21,23.24,12.31,99.99000000000001
128,48.39,,,0.19,0.13,0.7,0.58,36.75,13.25,99.99
129,77.01,,,0.07,0.1,1.89,0.23,15.84,4.86,100.0
130,29.65,,,0.18,0.21,0.41,0.8,47.79,20.95,99.99
131,73.32,,,0.12,0.13,0.39,0.34,10.31,15.4,100.01
132,42.72,,,0.63,0.93,0.19,0.46,33.11,21.97,100.00999999999999
133,62.83,,,0.38,0.99,0.14,0.29,23.55,11.82,100.0
114,4.55,,,0.3,0.05,,0.32,88.76,6.03,100.00999999999999
115,42.52,,,0.32,0.44,0.02,0.96,38.28,17.46,100.0
116,59.82,,,0.45,0.59,0.04,1.36,29.57,8.18,100.00999999999999
117,27.53,,,0.14,0.12,0.01,1.5,58.93,11.77,100.0
