parid,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90
93,20.83,25.01,19.58,16.76,10.7,5.24,1.59,0.3
94,19.21,22.7,21.41,19.41,10.82,4.59,1.55,0.31
95,18.91,24.9,20.53,17.0,11.17,5.34,1.78,0.36
96,19.62,24.84,21.17,17.58,10.57,4.5,1.37,0.36
97,20.49,23.28,21.17,19.25,10.45,3.98,1.15,0.22
98,17.35,24.8,20.47,18.91,12.98,4.33,0.99,0.17
99,17.63,22.62,20.69,19.18,13.08,5.16,1.44,0.19
100,17.37,24.12,22.2,20.12,11.4,3.77,0.94,0.08
101,20.37,24.55,21.02,18.66,10.33,3.73,1.17,0.18
102,20.43,24.53,21.5,18.67,10.4,3.46,0.91,0.11
103,15.89,23.44,24.83,18.81,11.25,4.54,1.12,0.13
104,16.88,21.3,23.17,21.7,12.15,3.8,0.88,0.12
105,12.79,20.44,21.71,20.15,15.25,6.81,2.28,0.57
106,12.89,19.95,21.82,19.73,15.44,7.74,2.09,0.33
107,20.45,25.0,23.7,18.03,9.08,2.91,0.7,0.14
108,18.77,25.26,21.44,18.47,12.05,3.23,0.65,0.12
109,20.9,25.08,22.03,17.52,9.87,3.46,0.94,0.2
110,12.97,21.52,21.26,20.32,15.04,6.48,1.93,0.47
111,21.09,25.97,22.87,17.32,9.15,2.84,0.64,0.11
112,19.88,26.49,20.46,17.05,10.12,4.37,1.37,0.27
113,19.42,25.1,22.2,17.65,9.74,4.2,1.43,0.26
114,8.98,17.52,21.97,23.25,17.28,8.31,2.37,0.33
115,14.84,24.38,20.13,19.61,13.53,5.45,1.68,0.37
116,16.67,24.43,20.31,19.52,13.02,4.58,1.3,0.17
117,13.52,21.04,19.99,20.14,16.05,6.65,2.13,0.47
118,17.82,28.58,19.39,18.73,10.67,3.5,1.1,0.21
119,13.33,20.59,20.82,21.94,14.87,5.89,1.98,0.57
120,5.62,12.98,18.58,24.26,22.15,10.82,4.02,1.56
121,13.93,23.84,20.37,20.59,13.45,5.75,1.71,0.35
122,10.83,18.75,22.34,20.17,16.61,8.4,2.45,0.45
123,8.36,16.68,20.96,22.75,19.16,8.63,2.89,0.57
124,16.4,25.17,22.1,18.72,11.91,4.49,1.07,0.14
125,20.82,39.5,17.69,14.42,6.88,0.58,0.11,0.0
126,16.43,25.56,17.72,16.19,15.25,6.52,1.98,0.35
127,18.15,26.81,14.98,17.91,15.68,5.11,1.13,0.22
128,15.79,22.6,19.84,19.33,13.64,6.17,2.15,0.48
