parid,par,party,win_pct
179,RANAU,PKR,45.17
180,KENINGAU,SOLIDARITI,33.09
181,TENOM,DAP,51.1
182,PENSIANGAN,BN,48.35
183,BELURAN,BN,62.84
184,LIBARAN,BN,49.25
185,BATU SAPI,WARISAN,55.78
186,SANDAKAN,DAP,67.97
187,KINABATANGAN,BN,67.22
188,SILAM,WARISAN,54.26
189,SEMPORNA,WARISAN,80.2
190,TAWAU,PKR,50.05
191,KALABAKAN,WARISAN,50.09
192,MAS GADING,DAP,56.71
193,SANTUBONG,BN,79.28
194,PETRA JAYA,BN,65.91
195,BANDAR KUCHING,DAP,79.43
196,STAMPIN,DAP,63.7
197,KOTA SAMARAHAN,BN,69.9
198,PUNCAK BORNEO,PKR,54.65
199,SERIAN,BN,63.99
200,BATANG SADONG,BN,83.25
201,BATANG LUPAR,BN,70.49
202,SRI AMAN,BN,61.48
203,LUBOK ANTU,BEBAS - KUNCI,40.09
204,BETONG,BN,60.41
205,SARATOK,PKR,52.18
206,TANJONG MANIS,BN,80.69
207,IGAN,BN,83.76
208,SARIKEI,DAP,53.57
209,JULAU,BEBAS - KERUSI,55.28
210,KANOWIT,BN,64.58
211,LANANG,DAP,65.16
212,SIBU,DAP,59.58
213,MUKAH,BN,66.9
214,SELANGAU,PKR,51.11
215,KAPIT,BN,78.91
216,HULU RAJANG,BN,68.2
217,BINTULU,BN,57.05
218,SIBUTI,BN,54.6
219,MIRI,PKR,61.82
220,BARAM,BN,54.45
221,LIMBANG,BN,72.07
222,LAWAS,BN,70.44
