data
"P102 BANGI  Ong Kian Ming (PH - DAP)57.4% (102,557)Mohd Shafie Ngah (PAS)18.9% (33,789)Liew Yuen Keong (BN - MCA)11.1% (19,766)Wan Jinn Woei (PRM)0.1% (215)Registered voters: 178,790Majority: 68,768Spoilt votes: 1,114Unreturned votes: 0Voter Turnout: 157,933 (88.3%)DemographicsMalay 48.48%; Chinese 38.95%; Indian 11.12%; B/P Sabah 0.28%; B/P Sarawak 0.22%; Orang Asli (Pen. Msia) 0.01%; Others 0.93%Incumbent: Ong Kian Ming"
"P103 PUCHONG  Gobind Singh Deo (PH - DAP)62.7% (60,429)Ang Chin Tat (BN - GERAKAN)13.3% (12,794)Mohamad Rosharizan Mohd Rozlan (PAS)10.6% (10,255)Registered voters: 96,437Majority: 47,635Spoilt votes: 667Unreturned votes: 0Voter Turnout: 84,357 (87.5%)DemographicsMalay 36.86%; Chinese 51.98%; Indian 10.03%; B/P Sabah 0.32%; B/P Sarawak 0.17%; Orang Asli (Pen. Msia) 0.15%; Others 0.49%Incumbent: Gobind Singh Deo"
"P104 SUBANG  Wong Chen (PH - PKR)71.3% (104,430)Tan Seong Lim (BN - MCA)8.2% (12,077)Mohd Shahir Mohd Adnan (IKATAN)6.2% (9,025)Toh Sin Wah (IND)0.1% (173)Registered voters: 146,422Majority: 92,353Spoilt votes: 610Unreturned votes: 0Voter Turnout: 126,883 (86.7%)DemographicsMalay 26.62%; Chinese 56.49%; Indian 15.15%; B/P Sabah 0.41%; B/P Sarawak 0.27%; Orang Asli (Pen. Msia) 0.01%; Others 1.05%Incumbent: Wong Chen"
"P105 PETALING JAYA  Maria Chin Abdullah (PH - PKR)56.0% (78,984)Chew Hian Tat (BN - MCA)15.5% (21,847)Noraini Hussin (PAS)10.3% (14,448)Registered voters: 140,920Majority: 57,137Spoilt votes: 968Unreturned votes: 0Voter Turnout: 116,597 (82.7%)DemographicsMalay 46.57%; Chinese 32.03%; Indian 19.54%; B/P Sabah 0.31%; B/P Sarawak 0.22%; Orang Asli (Pen. Msia) 0.01%; Others 1.32%"
"P106 DAMANSARA  Pua Kiam Wee (PH - DAP)73.8% (121,283)Ho Kwok Xheng (BN - MCA)8.8% (14,380)Wong Mun Kheong (PRM)0.4% (617)Registered voters: 164,322Majority: 106,903Spoilt votes: 867Unreturned votes: 0Voter Turnout: 137,639 (83.8%)DemographicsMalay 19.67%; Chinese 69.42%; Indian 9.42%; B/P Sabah 0.18%; B/P Sarawak 0.12%; Orang Asli (Pen. Msia) 0.19%; Others 0.99%Incumbent: Pua Kiam Wee"
"P107 SUNGAI BULOH  Sivarasa Rasiah (PH - PKR)48.1% (43,631)Nuridah Mohd Salleh (PAS)18.7% (16,997)Pakas Rao Applanaidoo (BN - MIC)18.4% (16,681)Zainurrizzaman Mohram (PSM)0.7% (642)Registered voters: 90,707Majority: 26,634Spoilt votes: 686Unreturned votes: 0Voter Turnout: 78,874 (87%)DemographicsMalay 65.33%; Chinese 21.64%; Indian 10.72%; B/P Sabah 0.46%; B/P Sarawak 0.47%; Orang Asli (Pen. Msia) 0.04%; Others 1.35%Incumbent: Sivarasa Rasiah"
"P108 SHAH ALAM  Khalid Abd Samad (PH - AMANAH)52.1% (55,949)Azhari Shaari (BN - UMNO)20.6% (22,100)Mohd Zuhdi Marsuki (PAS)14.2% (15,194)Registered voters: 107,316Majority: 33,849Spoilt votes: 664Unreturned votes: 0Voter Turnout: 94,241 (87.8%)DemographicsMalay 75.26%; Chinese 10.83%; Indian 12.78%; B/P Sabah 0.3%; B/P Sarawak 0.23%; Orang Asli (Pen. Msia) 0.07%; Others 0.53%Incumbent: Khalid Abd Samad"
"P109 KAPAR  Abdullah Sani Abdul Hamid (PH - PKR)38.2% (47,731)Abd Rani Osman (PAS)25.1% (31,425)Mohana Muniandy Raman (BN - MIC)21.1% (26,412)Manikavasagam Sundaram (PRM)0.4% (525)Registered voters: 124,983Majority: 16,306Spoilt votes: 1,497Unreturned votes: 0Voter Turnout: 107,829 (86.3%)DemographicsMalay 70.72%; Chinese 14.78%; Indian 13.55%; B/P Sabah 0.25%; B/P Sarawak 0.09%; Orang Asli (Pen. Msia) 0.02%; Others 0.58%"
"P110 KLANG  Charles Anthony R Santiago (PH - DAP)65.8% (98,279)Ching Eu Boon (BN - MCA)13.1% (19,506)Khairul Shah Abdullah (PAS)6.1% (9,169)Puvananderan Ganasamoorthy (IND)0.1% (120)Registered voters: 149,348Majority: 78,773Spoilt votes: 1,204Unreturned votes: 0Voter Turnout: 128,536 (86.1%)DemographicsMalay 26.44%; Chinese 55.26%; Indian 17.09%; B/P Sabah 0.37%; B/P Sarawak 0.13%; Orang Asli (Pen. Msia) 0.05%; Others 0.67%Incumbent: Charles Anthony R Santiago"
"P111 KOTA RAJA  Mohamad Sabu (PH - AMANAH)60.9% (90,697)Mohamed Diah Baharun (PAS)13.1% (19,555)Gunalan Velu (BN - MIC)12.0% (17,874)Registered voters: 149,021Majority: 71,142Spoilt votes: 966Unreturned votes: 0Voter Turnout: 129,412 (86.8%)DemographicsMalay 43.15%; Chinese 27.66%; Indian 27.68%; B/P Sabah 0.59%; B/P Sarawak 0.15%; Orang Asli (Pen. Msia) 0.01%; Others 0.76%"
