parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
95,TANJONG KARANG,BN,0.43450000000000005,SELANGOR,40498,531,47198,0.8693000000000001,0.7467,,,0.0005,0.0003,,0.0034999999999999996,0.15960000000000002,0.0894,RURAL,NON-FELDA,0,18.91,24.9,20.53,17.0,11.17,5.34,1.78,0.36,OPPOSITION
96,KUALA SELANGOR,PKR,0.4997,SELANGOR,59721,996,69397,0.8748999999999999,0.6543000000000001,,,0.001,0.0008,0.0001,0.0037,0.1292,0.2109,RURAL,NON-FELDA,0,19.62,24.84,21.17,17.58,10.57,4.5,1.37,0.36,GOVERNMENT
97,SELAYANG,PKR,0.6138,SELANGOR,98002,953,116176,0.8518000000000001,0.5179,,,0.0021,0.0018,0.0022,0.0116,0.2873,0.177,SEMI URBAN,NON-FELDA,0,20.49,23.28,21.17,19.25,10.45,3.98,1.15,0.22,GOVERNMENT
98,GOMBAK,PKR,0.631,SELANGOR,119042,933,141112,0.8502,0.758,,,0.0015,0.0014000000000000002,0.0039000000000000003,0.0208,0.1067,0.10769999999999999,SEMI URBAN,NON-FELDA,0,17.35,24.8,20.47,18.91,12.98,4.33,0.99,0.17,GOVERNMENT
99,AMPANG,PKR,0.7094,SELANGOR,76550,608,91737,0.8411,0.5478999999999999,,,0.002,0.0013,0.0001,0.015,0.34659999999999996,0.08710000000000001,URBAN,NON-FELDA,0,17.63,22.62,20.69,19.18,13.08,5.16,1.44,0.19,GOVERNMENT
100,PANDAN,PKR,0.7547,SELANGOR,85774,517,101319,0.8517,0.4558,,,0.0034000000000000002,0.0015,0.0001,0.0085,0.4595,0.0712,URBAN,NON-FELDA,0,17.37,24.12,22.2,20.12,11.4,3.77,0.94,0.08,GOVERNMENT
101,HULU LANGAT,PKR,0.5553,SELANGOR,88247,929,102363,0.8712000000000001,0.6498,,,0.0032,0.0027,0.0075,0.011899999999999999,0.2208,0.1042,SEMI URBAN,NON-FELDA,0,20.37,24.55,21.02,18.66,10.33,3.73,1.17,0.18,GOVERNMENT
102,BANGI,PKR,0.6559999999999999,SELANGOR,156327,1114,178790,0.8806,0.48479999999999995,,,0.0028000000000000004,0.0022,0.0001,0.009300000000000001,0.3895,0.1112,URBAN,NON-FELDA,0,20.43,24.53,21.5,18.67,10.4,3.46,0.91,0.11,GOVERNMENT
103,PUCHONG,PKR,0.7239,SELANGOR,83478,667,96437,0.8725,0.3686,,,0.0032,0.0017000000000000001,0.0015,0.0049,0.5197999999999999,0.1003,URBAN,NON-FELDA,0,15.89,23.44,24.83,18.81,11.25,4.54,1.12,0.13,GOVERNMENT
104,SUBANG,PKR,0.8308,SELANGOR,125705,610,146422,0.8626999999999999,0.2662,,,0.0040999999999999995,0.0027,0.0001,0.0105,0.5649000000000001,0.1515,URBAN,NON-FELDA,0,16.88,21.3,23.17,21.7,12.15,3.8,0.88,0.12,GOVERNMENT
105,PETALING JAYA,PKR,0.6851999999999999,SELANGOR,115279,968,140920,0.8249,0.4657,,,0.0031,0.0022,0.0001,0.0132,0.32030000000000003,0.1954,URBAN,NON-FELDA,0,12.79,20.44,21.71,20.15,15.25,6.81,2.28,0.57,GOVERNMENT
106,DAMANSARA,PKR,0.89,SELANGOR,136280,867,164322,0.8345999999999999,0.1967,,,0.0018,0.0012,0.0019,0.009899999999999999,0.6942,0.0942,URBAN,NON-FELDA,0,12.89,19.95,21.82,19.73,15.44,7.74,2.09,0.33,GOVERNMENT
107,SUNGAI BULOH,PKR,0.5597,SELANGOR,77951,686,90707,0.8669,0.6533,,,0.0046,0.004699999999999999,0.0004,0.013500000000000002,0.2164,0.1072,URBAN,NON-FELDA,0,20.45,25.0,23.7,18.03,9.08,2.91,0.7,0.14,GOVERNMENT
108,SHAH ALAM,PKR,0.6,SELANGOR,93243,664,107316,0.8751000000000001,0.7526,,,0.003,0.0023,0.0007000000000000001,0.0053,0.10830000000000001,0.1278,URBAN,NON-FELDA,0,18.77,25.26,21.44,18.47,12.05,3.23,0.65,0.12,GOVERNMENT
109,KAPAR,PKR,0.4499,SELANGOR,106093,1497,124983,0.8608,0.7071999999999999,,,0.0025,0.0009,0.0002,0.0058,0.1478,0.1355,URBAN,NON-FELDA,0,20.9,25.08,22.03,17.52,9.87,3.46,0.94,0.2,GOVERNMENT
110,KLANG,PKR,0.7734000000000001,SELANGOR,127074,1204,149348,0.8589,0.2644,,,0.0037,0.0013,0.0005,0.0067,0.5526,0.1709,URBAN,NON-FELDA,0,12.97,21.52,21.26,20.32,15.04,6.48,1.93,0.47,GOVERNMENT
111,KOTA RAJA,PKR,0.7079000000000001,SELANGOR,128126,966,149021,0.8663,0.4315,,,0.0059,0.0015,0.0001,0.0076,0.2766,0.2768,URBAN,NON-FELDA,0,21.09,25.97,22.87,17.32,9.15,2.84,0.64,0.11,GOVERNMENT
112,KUALA LANGAT,PKR,0.49079999999999996,SELANGOR,88097,1131,102406,0.8713,0.5717,,,0.0018,0.0013,0.0172,0.005,0.2403,0.16260000000000002,SEMI URBAN,NON-FELDA,0,19.88,26.49,20.46,17.05,10.12,4.37,1.37,0.27,GOVERNMENT
113,SEPANG,PKR,0.5156000000000001,SELANGOR,90657,1083,104508,0.8778,0.6233,,,0.0031,0.0023,0.020499999999999997,0.0054,0.20329999999999998,0.1421,SEMI URBAN,NON-FELDA,0,19.42,25.1,22.2,17.65,9.74,4.2,1.43,0.26,GOVERNMENT
114,KEPONG,PKR,0.9204000000000001,WILAYAH PERSEKUTUAN (KL),61404,323,72696,0.8491,0.0455,,,0.003,0.0005,,0.0032,0.8876000000000001,0.0603,URBAN,NON-FELDA,0,8.98,17.52,21.97,23.25,17.28,8.31,2.37,0.33,GOVERNMENT
115,BATU,BEBAS - KUNCI,0.607,WILAYAH PERSEKUTUAN (KL),62805,498,76328,0.8294,0.4252,,,0.0032,0.0044,0.0002,0.0096,0.38280000000000003,0.1746,RURAL,NON-FELDA,0,14.84,24.38,20.13,19.61,13.53,5.45,1.68,0.37,OPPOSITION
116,WANGSA MAJU,PKR,0.573,WILAYAH PERSEKUTUAN (KL),73608,525,88482,0.8378,0.5982,,,0.0045000000000000005,0.0059,0.0004,0.013600000000000001,0.2957,0.0818,URBAN,NON-FELDA,0,16.67,24.43,20.31,19.52,13.02,4.58,1.3,0.17,GOVERNMENT
117,SEGAMBUT,PKR,0.8207,WILAYAH PERSEKUTUAN (KL),64727,289,77956,0.8340000000000001,0.2753,,,0.0014000000000000002,0.0012,0.0001,0.015,0.5893,0.1177,URBAN,NON-FELDA,0,13.52,21.04,19.99,20.14,16.05,6.65,2.13,0.47,GOVERNMENT
118,SETIAWANGSA,PKR,0.5665,WILAYAH PERSEKUTUAN (KL),60852,339,72136,0.8482999999999999,0.6109,,,0.0076,0.0108,0.0004,0.0077,0.2587,0.1038,URBAN,NON-FELDA,0,17.82,28.58,19.39,18.73,10.67,3.5,1.1,0.21,GOVERNMENT
119,TITIWANGSA,PKR,0.4731,WILAYAH PERSEKUTUAN (KL),50386,323,61598,0.8231999999999999,0.7049,,,0.005,0.0037,0.0001,0.0191,0.17300000000000001,0.0942,URBAN,NON-FELDA,0,13.33,20.59,20.82,21.94,14.87,5.89,1.98,0.57,GOVERNMENT
120,BUKIT BINTANG,PKR,0.8493999999999999,WILAYAH PERSEKUTUAN (KL),52408,254,69526,0.7574,0.1253,,,0.0037,0.0028000000000000004,0.0002,0.0073,0.7512000000000001,0.10949999999999999,URBAN,NON-FELDA,0,5.62,12.98,18.58,24.26,22.15,10.82,4.02,1.56,GOVERNMENT
121,LEMBAH PANTAI,PKR,0.5024000000000001,WILAYAH PERSEKUTUAN (KL),66305,538,80346,0.8319,0.6212,,,0.0068000000000000005,0.0048,0.0002,0.0154,0.1891,0.1624,URBAN,NON-FELDA,0,13.93,23.84,20.37,20.59,13.45,5.75,1.71,0.35,GOVERNMENT
122,SEPUTEH,PKR,0.8996999999999999,WILAYAH PERSEKUTUAN (KL),70129,294,86256,0.8164,0.0904,,,0.0023,0.0008,,0.0075,0.8203,0.0787,URBAN,NON-FELDA,0,10.83,18.75,22.34,20.17,16.61,8.4,2.45,0.45,GOVERNMENT
123,CHERAS,PKR,0.89,WILAYAH PERSEKUTUAN (KL),63677,275,78819,0.8114,0.0968,,,0.0022,0.0006,0.0001,0.0038,0.8293,0.0673,URBAN,NON-FELDA,0,8.36,16.68,20.96,22.75,19.16,8.63,2.89,0.57,GOVERNMENT
124,BANDAR TUN RAZAK,PKR,0.5858,WILAYAH PERSEKUTUAN (KL),70206,444,83650,0.8445999999999999,0.6108,,,0.0042,0.0053,0.0001,0.0058,0.29100000000000004,0.0827,URBAN,NON-FELDA,0,16.4,25.17,22.1,18.72,11.91,4.49,1.07,0.14,GOVERNMENT
125,PUTRAJAYA,BN,0.4947,WILAYAH PERSEKUTUAN (PUTRAJAYA),24558,146,27306,0.9047,0.9417,,,0.0085,0.0042,0.0004,0.004699999999999999,0.0089,0.0318,URBAN,NON-FELDA,0,20.82,39.5,17.69,14.42,6.88,0.58,0.11,0.0,OPPOSITION
126,JELEBU,BN,0.4893,NEGERI SEMBILAN,38957,586,48522,0.8149,0.6501,,,0.0025,0.0015,0.0458,0.0019,0.2413,0.056900000000000006,RURAL,FELDA,13,16.43,25.56,17.72,16.19,15.25,6.52,1.98,0.35,OPPOSITION
127,JEMPOL,BN,0.4683,NEGERI SEMBILAN,57274,1025,72122,0.8083,0.6335000000000001,,,0.0006,0.0005,0.0077,0.0021,0.2324,0.1231,RURAL,FELDA,26,18.15,26.81,14.98,17.91,15.68,5.11,1.13,0.22,OPPOSITION
128,SEREMBAN,PKR,0.6045,NEGERI SEMBILAN,91818,1052,110168,0.843,0.4839,,,0.0019,0.0013,0.006999999999999999,0.0058,0.3675,0.1325,URBAN,NON-FELDA,0,15.79,22.6,19.84,19.33,13.64,6.17,2.15,0.48,GOVERNMENT
129,KUALA PILAH,PKR,0.4485,NEGERI SEMBILAN,40237,769,49801,0.8234,0.7701,,,0.0007000000000000001,0.001,0.0189,0.0023,0.15839999999999999,0.048600000000000004,SEMI URBAN,FELDA,1,14.72,21.39,18.55,19.18,14.13,7.49,3.92,0.63,GOVERNMENT
130,RASAH,PKR,0.7245,NEGERI SEMBILAN,85307,303,102838,0.8325,0.2965,,,0.0018,0.0021,0.0040999999999999995,0.008,0.4779,0.2095,URBAN,NON-FELDA,0,15.47,22.47,20.75,19.15,13.46,6.11,2.13,0.45,GOVERNMENT
131,REMBAU,BN,0.48869999999999997,NEGERI SEMBILAN,73856,1053,88365,0.8477,0.7332,,,0.0012,0.0013,0.0039000000000000003,0.0034000000000000002,0.10310000000000001,0.154,SEMI URBAN,NON-FELDA,0,18.75,23.13,19.85,19.18,12.01,4.76,1.94,0.38,OPPOSITION
132,PORT DICKSON,PKR,0.5906,NEGERI SEMBILAN,61334,948,75212,0.8281000000000001,0.42719999999999997,,,0.0063,0.009300000000000001,0.0019,0.0046,0.3311,0.21969999999999998,SEMI URBAN,NON-FELDA,0,16.4,24.37,20.69,18.27,12.44,5.66,1.79,0.4,GOVERNMENT
133,TAMPIN,PKR,0.4629,NEGERI SEMBILAN,48466,850,60765,0.8116,0.6283,,,0.0038,0.009899999999999999,0.0014000000000000002,0.0029,0.23550000000000001,0.1182,RURAL,FELDA,9,17.03,27.96,17.59,16.51,12.87,5.96,1.82,0.26,GOVERNMENT
134,MASJID TANAH,BN,0.541,MELAKA,42325,636,51441,0.8351999999999999,0.8317,,,0.0009,0.0012,0.0037,0.0058,0.11960000000000001,0.0371,RURAL,NON-FELDA,0,19.24,22.92,18.71,17.87,12.11,6.44,2.38,0.33,OPPOSITION
135,ALOR GAJAH,PKR,0.5073,MELAKA,57815,1007,70364,0.836,0.6084,,,0.001,0.0008,0.006,0.0022,0.2529,0.12869999999999998,RURAL,FELDA,4,18.0,22.84,19.25,17.91,12.71,6.45,2.42,0.41,GOVERNMENT
136,TANGGA BATU,PKR,0.4689,MELAKA,69142,1145,83213,0.8447,0.7098,,,0.0103,0.016399999999999998,0.0008,0.006500000000000001,0.2208,0.0353,SEMI URBAN,NON-FELDA,0,22.73,27.86,19.31,14.81,9.44,4.36,1.3,0.19,GOVERNMENT
137,HANG TUAH JAYA,PKR,0.5101,MELAKA,76583,909,89364,0.8672,0.6239,,,0.0017000000000000001,0.0013,,0.0052,0.3111,0.056799999999999996,URBAN,NON-FELDA,0,20.46,24.36,18.69,17.57,11.83,5.41,1.46,0.22,GOVERNMENT
138,KOTA MELAKA,PKR,0.7268000000000001,MELAKA,105276,1432,126848,0.8412000000000001,0.3741,,,0.0011,0.001,0.0001,0.0125,0.5710999999999999,0.0401,URBAN,NON-FELDA,0,15.79,21.21,19.14,19.06,14.48,7.4,2.39,0.52,GOVERNMENT
139,JASIN,BN,0.43,MELAKA,61761,912,73432,0.8534999999999999,0.735,,,0.0006,0.0007000000000000001,0.0012,0.0029,0.1617,0.0977,RURAL,FELDA,1,20.16,22.72,19.76,17.67,11.4,5.74,2.19,0.36,OPPOSITION
140,SEGAMAT,PKR,0.5309,JOHOR,45320,726,55350,0.8319,0.4619,,,0.003,0.0032,0.001,0.0023,0.4277,0.1009,RURAL,FELDA,3,17.34,21.18,17.67,19.97,14.55,6.35,2.46,0.48,GOVERNMENT
141,SEKIJANG,PKR,0.5169,JOHOR,37837,558,45596,0.8421,0.5924,,,0.0003,0.0005,0.0018,0.0034999999999999996,0.3615,0.04,RURAL,FELDA,5,17.05,24.81,19.02,17.01,14.06,6.02,1.81,0.22,GOVERNMENT
142,LABIS,PKR,0.5217,JOHOR,32030,485,40356,0.8057,0.37979999999999997,,,0.0007000000000000001,0.0005,0.0204,0.0024,0.44939999999999997,0.14679999999999999,RURAL,FELDA,4,15.64,21.48,19.75,18.83,13.99,7.29,2.5,0.52,GOVERNMENT
143,PAGOH,PKR,0.5521,JOHOR,42672,693,51512,0.8418000000000001,0.6596,,,0.0004,0.0004,0.0034000000000000002,0.0015,0.29760000000000003,0.037200000000000004,RURAL,FELDA,4,16.36,22.78,18.99,19.09,12.69,6.47,3.17,0.46,GOVERNMENT
144,LEDANG,PKR,0.5306000000000001,JOHOR,65414,1048,77474,0.8579000000000001,0.5576,,,0.0006,0.0004,0.0036,0.0019,0.39030000000000004,0.045700000000000005,RURAL,FELDA,1,17.81,21.93,19.72,18.27,12.51,6.72,2.6,0.45,GOVERNMENT
145,BAKRI,PKR,0.6265,JOHOR,61800,631,73883,0.845,0.44229999999999997,,,0.0008,0.0007000000000000001,,0.0032,0.5314,0.0215,SEMI URBAN,NON-FELDA,0,15.66,22.04,19.8,19.09,13.42,6.96,2.57,0.46,GOVERNMENT
146,MUAR,PKR,0.5309,JOHOR,42083,636,50843,0.8402,0.6672,,,0.0008,0.0007000000000000001,0.0001,0.0032,0.3147,0.013300000000000001,SEMI URBAN,NON-FELDA,0,17.51,23.01,18.68,17.75,12.6,6.73,3.11,0.62,GOVERNMENT
147,PARIT SULONG,BN,0.4919,JOHOR,49769,832,59609,0.8489,0.7851,,,0.0003,0.0005,0.0003,0.0023,0.2066,0.0048,RURAL,NON-FELDA,0,14.98,20.68,20.14,20.0,13.52,7.16,2.98,0.55,OPPOSITION
148,AYER HITAM,BN,0.43979999999999997,JOHOR,38824,556,46157,0.8532,0.5768,,,0.0002,0.0004,,0.0026,0.3797,0.0401,RURAL,NON-FELDA,0,17.48,23.03,20.61,18.26,11.92,6.14,2.18,0.38,OPPOSITION
149,SRI GADING,PKR,0.4858,JOHOR,44282,635,52119,0.8618000000000001,0.65,,,0.0007000000000000001,0.0004,0.0001,0.0026,0.3317,0.0146,RURAL,NON-FELDA,0,18.35,22.49,20.96,18.98,11.16,5.55,2.16,0.34,GOVERNMENT
150,BATU PAHAT,PKR,0.5592,JOHOR,82137,1097,98543,0.8445999999999999,0.5464,,,0.0007000000000000001,0.0006,0.001,0.0034999999999999996,0.4349,0.0129,SEMI URBAN,NON-FELDA,0,17.74,22.72,18.93,18.07,12.75,6.85,2.47,0.47,GOVERNMENT
151,SIMPANG RENGGAM,PKR,0.5069,JOHOR,35822,779,43998,0.8319,0.5961,,,0.0012,0.001,0.0002,0.0051,0.308,0.08839999999999999,RURAL,FELDA,3,17.53,22.62,19.99,18.78,12.02,6.51,2.1,0.46,GOVERNMENT
152,KLUANG,PKR,0.5920000000000001,JOHOR,80531,921,96915,0.8404,0.4163,,,0.003,0.0069,0.0004,0.004699999999999999,0.47490000000000004,0.09380000000000001,SEMI URBAN,NON-FELDA,0,17.87,23.85,18.96,17.86,13.21,6.08,1.82,0.36,GOVERNMENT
153,SEMBRONG,BN,0.5924,JOHOR,36044,598,44137,0.8301999999999999,0.6043999999999999,,,0.0004,0.0004,0.0131,0.0034999999999999996,0.2915,0.0866,RURAL,FELDA,5,17.3,26.65,17.06,17.6,14.11,5.38,1.59,0.32,OPPOSITION
154,MERSING,BN,0.53,JOHOR,37368,796,48176,0.7922,0.8145,,,0.0044,0.006,0.0169,0.0029,0.1429,0.0126,RURAL,FELDA,12,18.23,28.13,15.72,17.21,14.07,4.84,1.4,0.4,OPPOSITION
155,TENGGARA,BN,0.5439,JOHOR,37034,664,44749,0.8423999999999999,0.7468,,,0.004,0.0113,0.005600000000000001,0.0052,0.1613,0.0658,RURAL,FELDA,7,18.41,26.39,21.57,16.26,10.82,4.93,1.42,0.21,OPPOSITION
156,KOTA TINGGI,BN,0.6914,JOHOR,38193,802,46677,0.8354,0.8835999999999999,,,0.0006,0.0009,0.0007000000000000001,0.0029,0.09269999999999999,0.018500000000000003,RURAL,FELDA,9,16.25,27.78,18.72,14.92,14.78,6.06,1.21,0.29,OPPOSITION
157,PENGERANG,BN,0.6770999999999999,JOHOR,32241,557,40479,0.8101999999999999,0.8961,,,0.0017000000000000001,0.0018,0.0021,0.0018,0.08869999999999999,0.0077,RURAL,FELDA,12,13.87,28.76,21.43,11.97,15.26,7.28,1.1,0.34,OPPOSITION
158,TEBRAU,PKR,0.6209,JOHOR,103943,274,123033,0.8471,0.4719,,,0.0027,0.0067,0.0008,0.0088,0.3936,0.11539999999999999,SEMI URBAN,FELDA,2,19.85,24.11,25.63,17.94,8.45,2.95,0.87,0.2,GOVERNMENT
159,PASIR GUDANG,PKR,0.5868,JOHOR,105009,1342,124172,0.8565,0.4889,,,0.0134,0.0141,0.0008,0.008100000000000001,0.3703,0.1045,SEMI URBAN,NON-FELDA,0,18.63,23.75,24.4,20.07,9.63,2.75,0.67,0.08,GOVERNMENT
160,JOHOR BAHRU,PKR,0.6231,JOHOR,80322,1056,101409,0.8025,0.5264,,,0.0018,0.0024,0.0002,0.0068000000000000005,0.41090000000000004,0.051500000000000004,URBAN,NON-FELDA,0,11.5,19.73,19.6,21.05,17.17,7.88,2.47,0.6,GOVERNMENT
161,PULAI,PKR,0.6381,JOHOR,86893,966,106268,0.8268000000000001,0.49060000000000004,,,0.003,0.0036,0.0017000000000000001,0.0064,0.392,0.10279999999999999,URBAN,NON-FELDA,0,15.49,23.2,22.97,18.82,12.37,5.17,1.48,0.5,GOVERNMENT
162,ISKANDAR PUTERI,PKR,0.6923999999999999,JOHOR,116588,1987,138299,0.8573999999999999,0.3665,,,0.002,0.0032,0.0022,0.0036,0.4979,0.1246,SEMI URBAN,NON-FELDA,0,18.02,23.5,23.09,19.92,10.78,3.61,0.9,0.16,GOVERNMENT
163,KULAI,PKR,0.6542,JOHOR,84543,976,99147,0.8625,0.3496,,,0.0021,0.0018,0.0001,0.0034999999999999996,0.5404,0.1024,SEMI URBAN,FELDA,5,16.22,22.03,23.63,18.85,11.76,5.53,1.66,0.32,GOVERNMENT
164,PONTIAN,BN,0.4621,JOHOR,45726,738,55570,0.8361,0.6823999999999999,,,0.0005,0.0006,0.0007000000000000001,0.0046,0.301,0.0103,RURAL,NON-FELDA,0,15.52,22.57,19.91,18.0,13.17,7.5,2.78,0.54,OPPOSITION
165,TANJUNG PIAI,PKR,0.4729,JOHOR,44948,841,53528,0.8554,0.568,,,0.0008,0.0008,0.0001,0.0038,0.4164,0.0101,RURAL,NON-FELDA,0,16.6,22.16,20.7,18.29,12.43,6.84,2.48,0.51,GOVERNMENT
166,LABUAN,BN,0.47590000000000005,WILAYAH PERSEKUTUAN (LABUAN),21358,302,28356,0.7639,0.4207,,,0.3116,0.017,0.0001,0.030299999999999997,0.20670000000000002,0.013600000000000001,SEMI URBAN,NON-FELDA,0,17.53,26.23,18.43,19.68,11.99,4.24,1.31,0.61,OPPOSITION
167,KUDAT,BN,0.499,SABAH,37079,955,52251,0.7279000000000001,,0.5687,0.33590000000000003,,,,0.0042,0.09119999999999999,,RURAL,NON-FELDA,0,17.74,25.96,20.4,15.18,10.28,5.4,2.98,2.05,OPPOSITION
168,KOTA MARUDU,BN,0.38439999999999996,SABAH,33906,1179,47007,0.7464,,0.285,0.6889,,,,0.0039000000000000003,0.0222,,RURAL,NON-FELDA,0,16.29,28.12,20.13,15.91,9.92,5.38,2.62,1.61,OPPOSITION
169,KOTA BELUD,WARISAN,0.5082,SABAH,46098,1173,57919,0.8162,,0.6028,0.38020000000000004,,,,0.0029,0.014199999999999999,,RURAL,NON-FELDA,0,18.34,26.43,20.36,17.22,9.21,4.91,2.38,1.15,GOVERNMENT
170,TUARAN,BN,0.5154,SABAH,43643,958,54400,0.8199,,0.4758,0.4653,,,,0.005600000000000001,0.0533,,RURAL,NON-FELDA,0,15.8,25.41,22.04,18.68,9.95,4.72,2.25,1.16,OPPOSITION
171,SEPANGGAR,WARISAN,0.5947,SABAH,47785,913,62415,0.7802,,0.5525,0.2463,,,,0.011399999999999999,0.1898,,RURAL,NON-FELDA,0,19.27,29.63,19.89,17.51,8.62,3.11,1.21,0.76,GOVERNMENT
172,KOTA KINABALU,DAP,0.7476,SABAH,42310,563,56220,0.7626000000000001,,0.2235,0.1382,,,,0.0131,0.6252,,URBAN,NON-FELDA,0,11.82,19.08,20.01,21.19,17.27,7.16,2.34,1.13,GOVERNMENT
173,PUTATAN,PKR,0.4581,SABAH,30790,826,41312,0.7653,,0.6923999999999999,0.1435,,,,0.009899999999999999,0.1543,,SEMI URBAN,NON-FELDA,0,17.47,26.04,20.15,18.07,11.66,4.14,1.49,0.98,GOVERNMENT
174,PENAMPANG,WARISAN,0.7532,SABAH,43108,417,53131,0.8192,,0.13949999999999999,0.5179,,,,0.0171,0.3256,,SEMI URBAN,NON-FELDA,0,15.59,27.24,22.38,17.8,10.8,4.1,1.46,0.62,GOVERNMENT
175,PAPAR,WARISAN,0.4854,SABAH,35836,543,43586,0.8345999999999999,,0.6670999999999999,0.2531,,,,0.0052,0.0746,,RURAL,NON-FELDA,0,16.93,25.53,22.26,18.49,10.55,4.23,1.38,0.64,GOVERNMENT
176,KIMANIS,BN,0.4771,SABAH,25028,385,29618,0.858,,0.6654000000000001,0.2993,,,,0.0034000000000000002,0.0319,,RURAL,NON-FELDA,0,16.39,25.79,22.54,18.31,9.85,4.37,1.65,1.11,OPPOSITION
177,BEAUFORT,BN,0.4172,SABAH,27212,799,33342,0.8401000000000001,,0.6598,0.2611,,,,0.0045000000000000005,0.0746,,RURAL,NON-FELDA,0,14.69,23.58,22.9,20.64,11.0,4.98,1.59,0.61,OPPOSITION
178,SIPITANG,BN,0.486,SABAH,24771,596,31882,0.7957,,0.7626999999999999,0.1948,,,,0.0052,0.0374,,RURAL,NON-FELDA,0,17.09,25.36,21.5,19.17,9.98,4.4,1.72,0.78,OPPOSITION
179,RANAU,PKR,0.4517,SABAH,32942,769,43706,0.7713,,0.4003,0.5722,,,,0.0105,0.0171,,RURAL,NON-FELDA,0,17.78,28.35,20.15,17.08,8.72,4.62,2.16,1.14,GOVERNMENT
180,KENINGAU,SOLIDARITI,0.3309,SABAH,40149,522,51177,0.7947,,0.2803,0.6211,,,,0.012,0.0867,,RURAL,NON-FELDA,0,17.94,25.99,21.86,18.88,9.15,3.67,1.68,0.83,OPPOSITION
181,TENOM,DAP,0.511,SABAH,22238,661,29182,0.7847,,0.2801,0.6131,,,,0.0051,0.1017,,RURAL,NON-FELDA,0,17.67,26.26,20.73,18.49,8.66,4.47,2.33,1.38,GOVERNMENT
182,PENSIANGAN,BN,0.48350000000000004,SABAH,24368,528,31377,0.7934,,0.2427,0.7393000000000001,,,,0.005,0.013000000000000001,,RURAL,NON-FELDA,0,19.26,27.24,20.22,16.69,7.34,4.19,3.17,1.88,OPPOSITION
183,BELURAN,BN,0.6284000000000001,SABAH,20698,832,28509,0.7552,,0.5405,0.4426,,,,0.0085,0.0084,,RURAL,NON-FELDA,0,19.57,26.29,21.26,16.56,8.56,4.89,2.0,0.87,OPPOSITION
184,LIBARAN,BN,0.4925,SABAH,36143,948,47914,0.7741,,0.7676999999999999,0.061500000000000006,,,,0.0062,0.16469999999999999,,RURAL,NON-FELDA,0,22.03,27.24,20.1,15.51,9.43,3.67,1.34,0.67,OPPOSITION
185,BATU SAPI,WARISAN,0.5578,SABAH,23261,655,32574,0.7342,,0.6506000000000001,0.0409,,,,0.008199999999999999,0.3003,,RURAL,NON-FELDA,0,19.08,25.05,19.13,16.99,11.37,4.75,2.19,1.44,GOVERNMENT
186,SANDAKAN,DAP,0.6797,SABAH,28090,502,39777,0.7188,,0.439,0.0571,,,,0.0109,0.4929,,SEMI URBAN,NON-FELDA,0,15.85,22.05,19.45,19.05,13.93,5.79,2.54,1.34,GOVERNMENT
187,KINABATANGAN,BN,0.6722,SABAH,21518,661,28730,0.772,,0.7248,0.2647,,,,0.0049,0.005600000000000001,,RURAL,NON-FELDA,0,19.33,26.54,20.65,16.95,8.95,4.42,1.95,1.22,OPPOSITION
188,LAHAD DATU,WARISAN,0.5426,SABAH,43040,1079,60942,0.7240000000000001,,0.7986,0.0898,,,,0.008100000000000001,0.1035,,RURAL,FELDA,4,20.55,27.45,19.65,17.3,9.53,3.26,1.4,0.87,GOVERNMENT
189,SEMPORNA,WARISAN,0.802,SABAH,33426,982,48248,0.7131000000000001,,0.9643,0.0168,,,,0.0032,0.0158,,RURAL,NON-FELDA,0,20.33,25.98,21.71,15.98,8.29,4.11,2.05,1.54,GOVERNMENT
190,TAWAU,PKR,0.5005,SABAH,42753,981,59919,0.7299,,0.6071,0.049100000000000005,,,,0.008199999999999999,0.3356,,SEMI URBAN,NON-FELDA,0,16.07,23.73,20.55,19.38,12.58,5.01,1.74,0.94,GOVERNMENT
191,KALABAKAN,WARISAN,0.5009,SABAH,36909,840,52199,0.7232,,0.8440000000000001,0.061799999999999994,,,,0.0088,0.08539999999999999,,RURAL,FELDA,3,20.88,29.51,18.5,16.51,9.28,3.48,1.14,0.7,GOVERNMENT
192,MAS GADING,DAP,0.5671,SARAWAK,22518,236,29617,0.7683,0.05,,,,0.76,,0.01,0.18,,RURAL,NON-FELDA,0,11.48,19.66,23.13,22.6,13.63,6.72,2.32,0.45,GOVERNMENT
193,SANTUBONG,BN,0.7928000000000001,SARAWAK,33273,440,45628,0.7389,0.8,,,,0.12,,,0.08,,RURAL,NON-FELDA,0,15.6,23.51,22.78,19.02,11.4,5.82,1.5,0.37,OPPOSITION
194,PETRA JAYA,BN,0.6591,SARAWAK,42945,354,57925,0.7475,0.73,,,,0.12,,0.02,0.13,,RURAL,NON-FELDA,0,12.79,23.34,22.96,20.36,12.42,5.95,1.74,0.43,OPPOSITION
