parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
23,RANTAU PANJANG,PAS,0.5082,KELANTAN,48373,825,66115,0.7441,0.97,,,0.0002,0.0004,,0.008100000000000001,0.0206,0.0007000000000000001,RURAL,NON-FELDA,0,21.92,24.05,19.38,16.26,10.44,5.68,1.7,0.57,OPPOSITION
24,KUBANG KERIAN,PAS,0.5616,KELANTAN,63428,735,82018,0.7823,0.9798,,,0.0003,0.0004,,0.0012,0.0168,0.0014000000000000002,SEMI URBAN,NON-FELDA,0,24.86,25.64,18.04,15.44,9.28,4.9,1.53,0.3,OPPOSITION
25,BACHOK,PAS,0.4893,KELANTAN,73964,1148,92606,0.8111,0.9845999999999999,,,0.0002,0.0003,,0.0037,0.0108,0.0004,RURAL,NON-FELDA,0,24.1,26.46,19.4,14.55,9.2,4.84,1.12,0.34,OPPOSITION
26,KETEREH,BN,0.47950000000000004,KELANTAN,53107,781,65238,0.826,0.9666,,,0.0026,0.0059,0.0006,0.004699999999999999,0.018799999999999997,0.0008,RURAL,NON-FELDA,0,24.18,26.6,19.0,15.01,9.1,4.54,1.28,0.28,OPPOSITION
27,TANAH MERAH,BN,0.4844,KELANTAN,58122,986,73172,0.8078,0.9470999999999999,,,0.0004,0.0006,,0.0068000000000000005,0.0392,0.0059,RURAL,FELDA,4,24.58,26.21,18.78,14.97,9.91,4.22,1.1,0.23,OPPOSITION
28,PASIR PUTEH,PAS,0.47409999999999997,KELANTAN,68150,923,85411,0.8087000000000001,0.9817,,,0.0003,0.0004,,0.0076,0.0096,0.0005,RURAL,NON-FELDA,0,23.94,25.62,19.01,14.76,9.53,5.26,1.53,0.35,OPPOSITION
29,MACHANG,BN,0.4739,KELANTAN,55023,801,68387,0.8162999999999999,0.9645,,,0.0004,0.0005,,0.0014000000000000002,0.0313,0.0018,RURAL,NON-FELDA,0,24.13,25.03,18.83,15.43,9.67,4.86,1.69,0.36,OPPOSITION
30,JELI,BN,0.5589,KELANTAN,38761,400,47470,0.825,0.9823000000000001,,,0.0029,0.0034999999999999996,0.005600000000000001,0.0027,0.0019,0.0011,RURAL,NON-FELDA,0,25.2,25.57,19.96,14.54,8.68,4.38,1.29,0.37,OPPOSITION
31,KUALA KRAI,PAS,0.5256000000000001,KELANTAN,54987,861,70348,0.7939,0.9455,,,0.0004,0.0004,0.0001,0.0022,0.039599999999999996,0.011699999999999999,RURAL,NON-FELDA,0,24.41,26.37,18.53,14.68,9.64,4.78,1.34,0.26,OPPOSITION
32,GUA MUSANG,BN,0.4864,KELANTAN,39936,948,52524,0.7784,0.8243,,,0.0006,0.0005,0.111,0.0027,0.0558,0.0051,RURAL,FELDA,9,30.89,26.67,15.78,13.03,9.55,3.43,0.55,0.1,OPPOSITION
33,BESUT,BN,0.484,TERENGGANU,70935,903,86627,0.8293,0.981,,,0.0006,0.0007000000000000001,0.0001,0.0027,0.0141,0.0009,RURAL,FELDA,1,27.37,26.69,18.58,13.97,8.23,3.94,1.05,0.17,OPPOSITION
34,SETIU,PAS,0.4865,TERENGGANU,71978,1244,86247,0.8490000000000001,0.9941,,,0.0005,0.0003,,0.0014000000000000002,0.0033,0.0003,RURAL,FELDA,3,27.52,27.36,18.34,13.3,8.04,4.0,1.21,0.23,OPPOSITION
35,KUALA NERUS,PAS,0.5266,TERENGGANU,72105,727,83663,0.8704999999999999,0.987,,,0.0006,0.0006,,0.0015,0.0095,0.0008,RURAL,FELDA,1,28.58,27.58,17.68,13.5,7.92,3.6,0.97,0.16,OPPOSITION
36,KUALA TERENGGANU,PAS,0.4965,TERENGGANU,86583,767,103611,0.8431000000000001,0.9001,,,0.0005,0.0005,,0.0017000000000000001,0.09210000000000002,0.0052,URBAN,NON-FELDA,0,22.87,25.79,18.2,16.23,10.27,5.0,1.34,0.3,OPPOSITION
37,MARANG,PAS,0.5927,TERENGGANU,90682,1028,104898,0.8743000000000001,0.9769,,,0.0004,0.0005,,0.0013,0.020099999999999996,0.0008,RURAL,NON-FELDA,0,27.23,26.92,18.16,14.14,8.19,4.05,1.1,0.2,OPPOSITION
